source_country_iso3_code,destination_country_iso3_code,Diploma,Comparable to NLD,Comparable to AUS,Comparable to GBR
AFG,NLD,Diploma (Class 14),an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
AFG,NLD,12th Grade graduation certificate,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
AFG,NLD,Bachelor of Arts,an HBO bachelor's degree or 2 years of WO,,
AFG,NLD,Bachelor of Engineering,a WO bachelor's degree,,
AFG,NLD,Bachelor of Science,an HBO bachelor's degree or 2 years of WO,,
AFG,NLD,Doctor of Veterinary Medicine,a WO bachelor's degree,,
AFG,NLD,Medical Doctor,2 years of a 3-year master's programme in medicine,,
AFG,NLD,Master's degree,an HBO master's degree or a 1-year WO master's degree,,
ALB,NLD,Diplomë e Maturës Shtetërore(state matura diploma),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
ALB,NLD,"Diploma e Maturës Shteteröre Profesionale(professional state matura diploma),duration: 4 years","a VWO diploma for the general education part, an MBO diploma level 2, 3 or 4 for the vocational part",,
ALB,NLD,Diplomë Bachelor(bachelor's degree),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
ALB,NLD,"Diplomë e Nivelit të Parë,awarded until 2007-2008",an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
ALB,NLD,Diplomë Master i Arteve(Master of Arts),an HBO master's degree or a WO master's degree,,
ALB,NLD,Diplomë Master i Shkencave(Master of Science),an HBO master's degree or a WO master's degree,,
ALB,NLD,Diplomë Master Profesional(professional master's degree),an HBO master's degree,,
DZA,NLD,Brevet d’Enseignement Moyen(BEM),3 years of HAVO,,
DZA,NLD,Brevet d’Enseignement Professionnel(BEP),an MBO diploma level 3 or 4,,
DZA,NLD,Baccalauréat,at least a HAVO diploma,,
DZA,NLD,Brevet d’Enseignement Professionnel Supérieur(BEPS),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
DZA,NLD,Licence(duration: 3 years),3 years of HBO or 2 years of WO,,Diploma of Higher Education (DipHE) with a study load of 240 CATS
DZA,NLD,Master,an HBO master’s degree or a 1-year WO master’s degree,,
ARG,NLD,Técnicowith a subject combination from theeducación secundaria modalidad técnico profesional stream,an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
ARG,NLD,Técnicowith a subject combination from theeducación secundaria modalidad artística stream,a HAVO diploma with vocational subjects,,
ARG,NLD,Bachillerof theeducación secundaria modalidad artísticastream (subject combination:secundaria orientada),"usually a HAVO diploma, sometimes a HAVO diploma with vocational subjects",,
ARG,NLD,Bachillerof theeducación secundaria modalidad artísticastream (subject combination:especializada),a HAVO diploma with vocational subjects,,
ARG,NLD,Técnicoof theeducación secundaria modalidad artísticastream (subject combination:artístico-técnica),a HAVO diploma with vocational subjects,,
ARG,NLD,Bachillerwith a subject combination from theeducación secundaria orientada stream,"usually a HAVO diploma, sometimes a HAVO diploma with vocational subjects",,
ARG,NLD,Licenciada/o,usually an HBO bachelor’s degree or a WO bachelor’s degree,,
ARG,NLD,Magister,an HBO master’s degree or a WO master’s degree,,
ABW,NLD,DiplomaEducacion Profesional Basico(EPB)at advancement level (doorstroomniveau),a VMBO diploma middle-management vocational pathway (kaderberoepsgerichte leerweg),,
ABW,NLD,Diploma Middelbaar Algemeen Voortgezet Onderwijs,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
ABW,NLD,Diploma Middelbaar Beroepsonderwijs(EPI)at level 4,an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
ABW,NLD,Associate of Science Degree in Hotel and Restaurant Management,an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
ABW,NLD,Diploma Hoger Algemeen Voortgezet Onderwijs,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
ABW,NLD,Diploma Voorbereidend Wetenschappelijk Onderwijs,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
ABW,NLD,Diploma Opleiding tot Volledig Bevoegd Leerkracht,an HBO bachelor's degree,,
ABW,NLD,Akte van Bekwaamheid van de tweede graad tot het geven van voortgezet onderwijs in Nederlands,an HBO bachelor's degree,,
ABW,NLD,Bachelor of Arts in Social Work and Development,an HBO bachelor's degree,,
ABW,NLD,Bachelor of Science in Hospitality and Tourism Management,an HBO bachelor's degree,,
ABW,NLD,Bachelor of Commerce,an HBO bachelor's degree,,
ABW,NLD,Bachelor of Economics,an HBO bachelor's degree,,
ABW,NLD,"Bachelor of Arts in Organization, Governance and Management",a WO bachelor's degree,,
ABW,NLD,Bachelor of Science in Sustainable Engineering,a WO bachelor's degree,,
ABW,NLD,Bachelor of Laws (LLB),a WO bachelor's degree,,
ABW,NLD,Master of Business Administration (MBA),an HBO master's degree,,
ABW,NLD,Master of Laws (LLM),a WO master's degree,Research master's degree,MA/MSc by research
AUS,NLD,ACT Senior Secondary Certificate,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Higher School Certificate,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Northern Territory Certificate of Education,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Queensland Certificate of Education,a HAVO diploma if the student has an ATAR score between 60 and 85 or an OP between 17 and 8;aVWO diploma if the student has an ATAR score of at least 86 or an OP lower than 8,,
AUS,NLD,South Australian Certificate of Education,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Tasmanian Certificate of Education,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Victorian Certificate of Education,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Western Australian Certificate of Education,a HAVO diploma if the student has an ATAR score between 60 and 85;aVWO diploma if the student has an ATAR score of at least 86,,
AUS,NLD,Diploma(AQF Level 5),1 year of HBO,Diploma (AQF Level 5),
AUS,NLD,Advanced Diploma(AQF Level 6),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
